,CustomerName,Recency,Frequency,Monetary,R_rank,F_rank,M_rank,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer_segment
0,Aaron Bergman,16,89,120359.5697,397.5,770.5,713.0,50.994227068633734,96.7964824120603,96.7964824120603,89.92614411054632,High Value Customer
1,Aaron Hawkins,12,56,102027.89567999994,486.5,221.5,637.0,62.411802437459905,27.826633165829147,27.826633165829147,33.014408556573756,Low value Customer
2,Aaron Smayling,23,60,64406.235799999995,298.0,308.0,309.0,38.22963438101347,38.69346733668342,38.69346733668342,38.62389239333292,Low value Customer
3,Adam Bellavance,35,68,109573.00940000005,173.0,495.0,679.0,22.19371391917896,62.1859296482412,62.1859296482412,56.18709728888186,Medium Value Customer
4,Adam Hart,2,84,91431.54582000003,699.0,734.5,569.0,89.67286722257857,92.27386934673368,92.27386934673368,91.88371902811042,High Value Customer
5,Adam Shillingsburg,15,71,74311.74488,419.5,553.5,427.0,53.81654906991661,69.53517587939699,69.53517587939699,67.17738185797494,Medium Value Customer
6,Adrian Barton,27,77,186818.29599999994,255.5,651.0,792.0,32.777421423989736,81.78391959798995,81.78391959798995,74.43294487188992,Medium Value Customer
7,Adrian Hane,21,54,52745.659080000005,332.5,173.5,179.0,42.6555484284798,21.7964824120603,21.7964824120603,24.925342314523224,Low value Customer
8,Adrian Shami,41,44,49139.749800000005,129.5,49.0,141.0,16.613213598460554,6.155778894472362,6.155778894472362,7.72439410007059,Low value Customer
9,Aimee Bixby,35,55,105330.48420000002,173.0,195.5,657.0,22.19371391917896,24.560301507537687,24.560301507537687,24.20531336928388,Low value Customer
10,Alan Barnes,13,60,62265.083999999995,463.0,308.0,279.0,59.397049390635026,38.69346733668342,38.69346733668342,41.79900464477616,Low value Customer
11,Alan Dominguez,5,55,89011.98339999997,636.5,195.5,552.0,81.65490699166132,24.560301507537687,24.560301507537687,33.12449233015623,Low value Customer
12,Alan Haines,49,77,71713.2969,84.0,651.0,391.0,10.77613855035279,81.78391959798995,81.78391959798995,71.13275244084437,Medium Value Customer
13,Alan Hwang,6,74,112799.72986,600.5,600.0,691.0,77.03656189865298,75.37688442211056,75.37688442211056,75.62583604359193,High Value Customer
14,Alan Schoenberger,2,73,114495.09189999998,699.0,583.5,697.0,89.67286722257857,73.30402010050251,73.30402010050251,75.75934716881392,High Value Customer
15,Alan Shonely,12,63,51542.56811999998,486.5,375.5,166.0,62.411802437459905,47.17336683417086,47.17336683417086,49.45913217466421,Low value Customer
16,Alejandro Ballentine,5,68,56820.2402,636.5,495.0,222.0,81.65490699166132,62.1859296482412,62.1859296482412,65.10627624975422,Medium Value Customer
17,Alejandro Grove,13,67,86881.53038000003,463.0,467.0,536.0,59.397049390635026,58.66834170854271,58.66834170854271,58.777647860856554,Medium Value Customer
18,Alejandro Savely,18,77,112425.05646,381.0,651.0,689.0,48.877485567671584,81.78391959798995,81.78391959798995,76.84795449344219,High Value Customer
19,Aleksandra Gannaway,2,58,66425.9192,699.0,267.5,335.0,89.67286722257857,33.60552763819096,33.60552763819096,42.0156285758491,Low value Customer
20,Alex Avila,2,50,64601.229999999996,699.0,116.5,312.0,89.67286722257857,14.6356783919598,14.6356783919598,25.89125671655262,Low value Customer
21,Alex Grayson,2,77,50400.66925999999,699.0,651.0,154.0,89.67286722257857,81.78391959798995,81.78391959798995,82.96726174167824,High Value Customer
22,Alex Russell,29,64,62303.6746,224.0,399.5,282.0,28.736369467607442,50.188442211055275,50.188442211055275,46.9706312995381,Low value Customer
23,Alice McCarthy,15,77,89640.2594,419.5,651.0,556.0,53.81654906991661,81.78391959798995,81.78391959798995,77.58881401877895,High Value Customer
24,Allen Armold,6,55,25459.937000000005,600.5,195.5,11.0,77.03656189865298,24.560301507537687,24.560301507537687,32.43174056620498,Low value Customer
25,Allen Goldenen,112,53,36551.39752,11.0,157.5,42.0,1.4111610006414368,19.786432160804022,19.786432160804022,17.030141486779634,Low value Customer
26,Allen Rosenblatt,54,50,42143.95234000001,67.5,116.5,83.0,8.659397049390636,14.6356783919598,14.6356783919598,13.739236190574426,Low value Customer
27,Alyssa Crouse,6,61,83528.74190000001,600.5,329.0,507.0,77.03656189865298,41.33165829145729,41.33165829145729,46.68739383253664,Low value Customer
28,Alyssa Tate,12,65,84290.12249999997,486.5,421.5,519.0,62.411802437459905,52.95226130653267,52.95226130653267,54.37119247617176,Medium Value Customer
29,Amy Cox,5,39,72881.06579999998,636.5,19.0,411.0,81.65490699166132,2.386934673366834,2.386934673366834,14.277130521111006,Low value Customer
30,Amy Hunt,70,39,51642.550440000006,42.0,19.0,167.0,5.388069275176395,2.386934673366834,2.386934673366834,2.837104863638268,Low value Customer
31,Andrew Allen,125,48,95311.71954000002,6.0,87.0,595.0,0.7697241821680565,10.92964824120603,10.92964824120603,9.405659632350334,Low value Customer
32,Andrew Gjertsen,48,78,91560.25154000003,92.0,670.0,573.0,11.8024374599102,84.17085427135679,84.17085427135679,73.3155917496398,Medium Value Customer
33,Andrew Roberts,14,69,76919.48008000002,442.5,521.0,460.0,56.767158434894164,65.45226130653266,65.45226130653266,64.14949587578688,Medium Value Customer
34,Andy Gerbode,12,44,68711.33,486.5,49.0,365.0,62.411802437459905,6.155778894472362,6.155778894472362,14.594182425920494,Low value Customer
35,Andy Reiter,6,35,31626.4855,600.5,7.0,22.0,77.03656189865298,0.8793969849246231,0.8793969849246231,12.302971721983877,Low value Customer
36,Andy Yotov,14,50,35531.55532,442.5,116.5,32.0,56.767158434894164,14.6356783919598,14.6356783919598,20.955400398399952,Low value Customer
37,Anemone Ratner,2,50,53544.83344000001,699.0,116.5,188.0,89.67286722257857,14.6356783919598,14.6356783919598,25.89125671655262,Low value Customer
38,Angele Hood,21,49,56979.775700000006,332.5,100.5,225.0,42.6555484284798,12.625628140703519,12.625628140703519,17.130116183869962,Low value Customer
39,Ann Blume,7,64,90474.85589999998,572.5,399.5,562.0,73.44451571520206,50.188442211055275,50.188442211055275,53.67685323667729,Medium Value Customer
40,Ann Chong,6,83,59541.755280000005,600.5,721.5,257.0,77.03656189865298,90.64070351758794,90.64070351758794,88.60008227474769,High Value Customer
41,Ann Steele,33,55,86048.69950000002,195.0,195.5,531.0,25.01603592046183,24.560301507537687,24.560301507537687,24.62866166947631,Low value Customer
42,Anna Andreadi,28,91,76482.47334000003,238.5,774.5,453.0,30.596536241180246,97.29899497487438,97.29899497487438,87.29362616482025,High Value Customer
43,Anna Chung,2,43,37504.26044,699.0,39.5,47.0,89.67286722257857,4.9623115577889445,4.9623115577889445,17.668894907507386,Low value Customer
44,Anna Gayman,47,77,61719.20639999998,98.5,651.0,278.0,12.636305323925592,81.78391959798995,81.78391959798995,71.41177745688029,Medium Value Customer
45,Anna Häberlin,30,76,97796.24623999998,213.5,631.0,608.0,27.38935214881334,79.2713567839196,79.2713567839196,71.48905608865365,Medium Value Customer
46,Anne McFarland,25,79,126295.50030000003,285.0,684.5,736.0,36.561898652982684,85.99246231155779,85.99246231155779,78.57787776277152,High Value Customer
47,Anne Pryor,37,63,74302.5965,153.5,375.5,426.0,19.692110327132777,47.17336683417086,47.17336683417086,43.051178358115145,Low value Customer
48,Annie Thurman,2,55,62453.752300000015,699.0,195.5,284.0,89.67286722257857,24.560301507537687,24.560301507537687,34.32718636479382,Low value Customer
49,Annie Zypern,26,68,58829.71899999999,271.0,495.0,248.0,34.76587556125722,62.1859296482412,62.1859296482412,58.0729215351936,Medium Value Customer
50,Anthony Garverick,28,58,57030.8321,238.5,267.5,227.0,30.596536241180246,33.60552763819096,33.60552763819096,33.154178928639354,Low value Customer
51,Anthony Jacobs,1,79,74537.71340000002,741.0,684.5,429.0,95.06093649775497,85.99246231155779,85.99246231155779,87.35273343948737,High Value Customer
52,Anthony Johnson,36,77,49601.291000000005,162.5,651.0,145.0,20.846696600384863,81.78391959798995,81.78391959798995,72.64333614834919,Medium Value Customer
53,Anthony O'Donnell,7,60,65364.98999999999,572.5,308.0,323.0,73.44451571520206,38.69346733668342,38.69346733668342,43.906124593461215,Low value Customer
54,Anthony Rawles,22,72,82727.3346,312.5,569.0,504.0,40.089801154586276,71.4824120603015,71.4824120603015,66.77352042444421,Medium Value Customer
55,Anthony Witt,16,78,73295.41712,397.5,670.0,417.0,50.994227068633734,84.17085427135679,84.17085427135679,79.19436019094832,High Value Customer
56,Arianne Irving,13,50,39112.98309999999,463.0,116.5,61.0,59.397049390635026,14.6356783919598,14.6356783919598,21.349884041761086,Low value Customer
57,Art Ferguson,5,98,152491.56530000005,636.5,789.0,773.0,81.65490699166132,99.12060301507537,99.12060301507537,96.50074861156327,High Value Customer
58,Art Foster,53,76,101749.08343999999,72.0,631.0,634.0,9.236690186016677,79.2713567839196,79.2713567839196,68.76615679423416,Medium Value Customer
59,Arthur Gainer,23,75,107100.11352,298.0,616.0,666.0,38.22963438101347,77.38693467336684,77.38693467336684,71.51333962951384,Medium Value Customer
60,Arthur Prichep,76,87,71789.95890000001,33.5,761.0,392.0,4.297626683771648,95.60301507537689,95.60301507537689,81.90720681663609,High Value Customer
